offset,offset_hex,length,text,population_term,candidate_kind,patchability,safe_patch_type,confidence,reason,length_change_patchability,candidate_id,file_offset,decoded_offset,decoded_offset_hex,section,owner_type,owner_name,owner_function_index,owner_function_offset_range,owner_function_name,owner_function_purpose_tags,nearby_strings,nearby_native_calls,nearby_branches,candidate_value,candidate_value_type,operand_width,patchability_level,confidence_score,safety_reason,blocked_reason,unrelated_code_risk
7,0x7,6,<_%!<`,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000001,,7,0x7,string,string_table,<_%!<`,0,0x0..0x18C,main,[],"['<_%!<`', 'Time for Exec ']",[],"['0x18', '0x20', '0x28', '0x30', '0x38', '0x40', '0x48', '0x50', '0x5A', '0x6C', '0x7F']",<_%!<`,string,6,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
238,0xEE,14,Time for Exec ,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000002,,238,0xEE,string,string_table,Time for Exec ,0,0x0..0x18C,main,[],"['Time for Exec ', '<_%!<`']","['0x9B', '0xA4', '0xAA', '0xC4', '0xC7', '0xFD', '0x108', '0x110', '0x113', '0x12D', '0x133', '0x136']","['0x7F', '0x91', '0x97', '0xA0', '0xA7', '0xAE', '0xCA', '0xD7', '0xE4', '0xE9', '0x122', '0x12A']",Time for Exec ,string,14,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
431,0x1AF,9,ACTORROAM,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000003,,431,0x1AF,string,string_table,ACTORROAM,2,0x1A8..0x1E3,Function_2,['actor'],"['ACTORROAM', '?8~-', 'roamRemoveSet']","['0x133', '0x136', '0x139', '0x147', '0x153', '0x15B', '0x188', '0x1EC', '0x1F6', '0x1FD', '0x207', '0x21A']","['0x143', '0x150', '0x157', '0x15E', '0x168', '0x173', '0x185', '0x19E', '0x1A3', '0x1EF', '0x200', '0x213']",ACTORROAM,string,9,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
480,0x1E0,4,?8~-,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000004,,480,0x1E0,string,string_table,?8~-,2,0x1A8..0x1E3,Function_2,['actor'],"['ACTORROAM', '?8~-', 'roamRemoveSet']","['0x188', '0x1EC', '0x1F6', '0x1FD', '0x207', '0x21A', '0x239', '0x243', '0x24A']","['0x168', '0x173', '0x185', '0x19E', '0x1A3', '0x1EF', '0x200', '0x213', '0x21E', '0x258']",?8~-,string,4,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
549,0x225,13,roamRemoveSet,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000005,,549,0x225,string,string_table,roamRemoveSet,4,0x20B..0x976,Function_4,['actor'],"['ACTORROAM', '?8~-', 'roamRemoveSet', 'ActorRoam - ', 'o5 will ignore ambient restrictions while using gringo', '2(B ', '0o(Invalid Object type passed to ActorRoam', 'ACTORROAM - Actor ', ' failing on use of gringo ', ' of type ', 'do(ActorRoam got an invalid object named: ', 'o#Invalid Object in ActorRoam update']","['0x1EC', '0x1F6', '0x1FD', '0x207', '0x21A', '0x239', '0x243', '0x24A', '0x264', '0x267', '0x270', '0x279']","['0x1EF', '0x200', '0x213', '0x21E', '0x258', '0x273', '0x27E', '0x284', '0x28C', '0x294', '0x29D', '0x2A5']",roamRemoveSet,string,13,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
795,0x31B,12,ActorRoam - ,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000006,,795,0x31B,string,string_table,ActorRoam - ,4,0x20B..0x976,Function_4,['actor'],"['ActorRoam - ', 'o5 will ignore ambient restrictions while using gringo', 'roamRemoveSet', '2(B ', '0o(Invalid Object type passed to ActorRoam', 'ACTORROAM - Actor ', ' failing on use of gringo ', ' of type ', 'do(ActorRoam got an invalid object named: ', 'o#Invalid Object in ActorRoam update', ')Of<', 'vOf<']","['0x2AD', '0x2B6', '0x2C6', '0x328', '0x32E', '0x331', '0x36B', '0x372', '0x379', '0x37F', '0x393', '0x396']","['0x29D', '0x2A5', '0x2B0', '0x2BB', '0x303', '0x309', '0x310', '0x316', '0x382', '0x38A', '0x38D', '0x399']",ActorRoam - ,string,12,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
820,0x334,54,o5 will ignore ambient restrictions while using gringo,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000007,,820,0x334,string,string_table,o5 will ignore ambient restrictions while using gringo,4,0x20B..0x976,Function_4,['actor'],"['ActorRoam - ', 'o5 will ignore ambient restrictions while using gringo', 'roamRemoveSet', '2(B ', '0o(Invalid Object type passed to ActorRoam', 'ACTORROAM - Actor ', ' failing on use of gringo ', ' of type ', 'do(ActorRoam got an invalid object named: ', 'o#Invalid Object in ActorRoam update', ')Of<', 'vOf<']","['0x2B6', '0x2C6', '0x328', '0x32E', '0x331', '0x36B', '0x372', '0x379', '0x37F', '0x393', '0x396', '0x3A0']","['0x2BB', '0x303', '0x309', '0x310', '0x316', '0x382', '0x38A', '0x38D', '0x399']",o5 will ignore ambient restrictions while using gringo,string,54,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
1273,0x4F9,4,2(B ,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000008,,1273,0x4F9,string,string_table,2(B ,4,0x20B..0x976,Function_4,['actor'],"['2(B ', 'roamRemoveSet', 'ActorRoam - ', 'o5 will ignore ambient restrictions while using gringo', '0o(Invalid Object type passed to ActorRoam', 'ACTORROAM - Actor ', ' failing on use of gringo ', ' of type ', 'do(ActorRoam got an invalid object named: ', 'o#Invalid Object in ActorRoam update', ')Of<', 'vOf<']","['0x47E', '0x4A4', '0x4AA', '0x4B3', '0x4BB', '0x4C2', '0x4DA', '0x51A', '0x52C', '0x537', '0x54B', '0x554']","['0x47B', '0x489', '0x49A', '0x49D', '0x4C9', '0x4D1', '0x4D4', '0x4F3', '0x500', '0x507', '0x50A', '0x51D']",2(B ,string,4,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
1432,0x598,42,0o(Invalid Object type passed to ActorRoam,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000009,,1432,0x598,string,string_table,0o(Invalid Object type passed to ActorRoam,4,0x20B..0x976,Function_4,['actor'],"['0o(Invalid Object type passed to ActorRoam', 'roamRemoveSet', 'ActorRoam - ', 'o5 will ignore ambient restrictions while using gringo', '2(B ', 'ACTORROAM - Actor ', ' failing on use of gringo ', ' of type ', 'do(ActorRoam got an invalid object named: ', 'o#Invalid Object in ActorRoam update', ')Of<', 'vOf<']","['0x51A', '0x52C', '0x537', '0x54B', '0x554', '0x55C', '0x563', '0x56F', '0x575', '0x57C', '0x588', '0x5C3']","['0x51D', '0x523', '0x542', '0x545', '0x551', '0x566', '0x57F', '0x593', '0x596', '0x5C6', '0x5CD', '0x5D0']",0o(Invalid Object type passed to ActorRoam,string,42,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
1627,0x65B,18,ACTORROAM - Actor ,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000010,,1627,0x65B,string,string_table,ACTORROAM - Actor ,4,0x20B..0x976,Function_4,['actor'],"['ACTORROAM - Actor ', ' failing on use of gringo ', ' of type ', 'roamRemoveSet', 'ActorRoam - ', 'o5 will ignore ambient restrictions while using gringo', '2(B ', '0o(Invalid Object type passed to ActorRoam', 'do(ActorRoam got an invalid object named: ', 'o#Invalid Object in ActorRoam update', ')Of<', 'vOf<']","['0x5F3', '0x5F9', '0x608', '0x60F', '0x616', '0x61D', '0x62D', '0x630', '0x63C', '0x646', '0x66E', '0x674']","['0x5E9', '0x5EC', '0x624', '0x627', '0x634', '0x64D', '0x653', '0x656', '0x6D4', '0x6DB']",ACTORROAM - Actor ,string,18,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
