offset,offset_hex,length,text,population_term,candidate_kind,patchability,safe_patch_type,confidence,reason,length_change_patchability,candidate_id,file_offset,decoded_offset,decoded_offset_hex,section,owner_type,owner_name,owner_function_index,owner_function_offset_range,owner_function_name,owner_function_purpose_tags,nearby_strings,nearby_native_calls,nearby_branches,candidate_value,candidate_value_type,operand_width,patchability_level,confidence_score,safety_reason,blocked_reason,unrelated_code_risk
226,0xE2,14,FreeModeThread,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000001,,226,0xE2,string,string_table,FreeModeThread,0,0x0..0xBB0,main,"['disable', 'mission']","['FreeModeThread', 'OLNM_ReturnToFM', 'mp_fe_freeroam', 'mp_fe_resession', 'MULTI_FREE_ROAM', 'NetConf_AvatarPicker', 'mp_avatarpicker_conf_lobby', 'mp_avatarpicker_conf', 'XpHud', 'netNoAmbientWorld', 'mpskiptutorial', 'LoadingScreenTexture']","['0xC1', '0xDD', '0x136', '0x160']","['0xC9', '0xD5', '0xF1', '0xF6', '0x110', '0x139']",FreeModeThread,string,14,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
277,0x115,15,OLNM_ReturnToFM,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000002,,277,0x115,string,string_table,OLNM_ReturnToFM,0,0x0..0xBB0,main,"['disable', 'mission']","['FreeModeThread', 'OLNM_ReturnToFM', 'mp_fe_freeroam', 'mp_fe_resession', 'MULTI_FREE_ROAM', 'NetConf_AvatarPicker', 'mp_avatarpicker_conf_lobby', 'mp_avatarpicker_conf', 'XpHud', 'netNoAmbientWorld', 'mpskiptutorial', 'LoadingScreenTexture']","['0xC1', '0xDD', '0x136', '0x160', '0x166', '0x186']","['0xC9', '0xD5', '0xF1', '0xF6', '0x110', '0x139', '0x163', '0x16A', '0x171', '0x189']",OLNM_ReturnToFM,string,15,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
295,0x127,14,mp_fe_freeroam,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000003,,295,0x127,string,string_table,mp_fe_freeroam,0,0x0..0xBB0,main,"['disable', 'mission']","['FreeModeThread', 'OLNM_ReturnToFM', 'mp_fe_freeroam', 'mp_fe_resession', 'MULTI_FREE_ROAM', 'NetConf_AvatarPicker', 'mp_avatarpicker_conf_lobby', 'mp_avatarpicker_conf', 'XpHud', 'netNoAmbientWorld', 'mpskiptutorial', 'LoadingScreenTexture']","['0xC1', '0xDD', '0x136', '0x160', '0x166', '0x186', '0x19E']","['0xC9', '0xD5', '0xF1', '0xF6', '0x110', '0x139', '0x163', '0x16A', '0x171', '0x189']",mp_fe_freeroam,string,14,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
318,0x13E,15,OLNM_ReturnToFM,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000004,,318,0x13E,string,string_table,OLNM_ReturnToFM,0,0x0..0xBB0,main,"['disable', 'mission']","['FreeModeThread', 'OLNM_ReturnToFM', 'mp_fe_freeroam', 'mp_fe_resession', 'MULTI_FREE_ROAM', 'NetConf_AvatarPicker', 'mp_avatarpicker_conf_lobby', 'mp_avatarpicker_conf', 'XpHud', 'netNoAmbientWorld', 'mpskiptutorial', 'LoadingScreenTexture']","['0xC1', '0xDD', '0x136', '0x160', '0x166', '0x186', '0x19E']","['0xC9', '0xD5', '0xF1', '0xF6', '0x110', '0x139', '0x163', '0x16A', '0x171', '0x189']",OLNM_ReturnToFM,string,15,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
336,0x150,15,mp_fe_resession,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000005,,336,0x150,string,string_table,mp_fe_resession,0,0x0..0xBB0,main,"['disable', 'mission']","['FreeModeThread', 'OLNM_ReturnToFM', 'mp_fe_freeroam', 'mp_fe_resession', 'MULTI_FREE_ROAM', 'NetConf_AvatarPicker', 'mp_avatarpicker_conf_lobby', 'mp_avatarpicker_conf', 'XpHud', 'netNoAmbientWorld', 'mpskiptutorial', 'LoadingScreenTexture']","['0xDD', '0x136', '0x160', '0x166', '0x186', '0x19E']","['0xD5', '0xF1', '0xF6', '0x110', '0x139', '0x163', '0x16A', '0x171', '0x189']",mp_fe_resession,string,15,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
374,0x176,15,MULTI_FREE_ROAM,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000006,,374,0x176,string,string_table,MULTI_FREE_ROAM,0,0x0..0xBB0,main,"['disable', 'mission']","['OLNM_ReturnToFM', 'mp_fe_freeroam', 'mp_fe_resession', 'MULTI_FREE_ROAM', 'NetConf_AvatarPicker', 'mp_avatarpicker_conf_lobby', 'FreeModeThread', 'mp_avatarpicker_conf', 'XpHud', 'netNoAmbientWorld', 'mpskiptutorial', 'LoadingScreenTexture']","['0x136', '0x160', '0x166', '0x186', '0x19E', '0x1D5', '0x1ED']","['0xF6', '0x110', '0x139', '0x163', '0x16A', '0x171', '0x189', '0x1D8']",MULTI_FREE_ROAM,string,15,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
398,0x18E,15,MULTI_FREE_ROAM,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000007,,398,0x18E,string,string_table,MULTI_FREE_ROAM,0,0x0..0xBB0,main,"['disable', 'mission']","['OLNM_ReturnToFM', 'mp_fe_freeroam', 'mp_fe_resession', 'MULTI_FREE_ROAM', 'NetConf_AvatarPicker', 'mp_avatarpicker_conf_lobby', 'mp_avatarpicker_conf', 'FreeModeThread', 'XpHud', 'netNoAmbientWorld', 'mpskiptutorial', 'LoadingScreenTexture']","['0x136', '0x160', '0x166', '0x186', '0x19E', '0x1D5', '0x1ED']","['0x110', '0x139', '0x163', '0x16A', '0x171', '0x189', '0x1D8']",MULTI_FREE_ROAM,string,15,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
419,0x1A3,20,NetConf_AvatarPicker,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000008,,419,0x1A3,string,string_table,NetConf_AvatarPicker,0,0x0..0xBB0,main,"['disable', 'mission']","['mp_fe_freeroam', 'OLNM_ReturnToFM', 'mp_fe_resession', 'MULTI_FREE_ROAM', 'NetConf_AvatarPicker', 'mp_avatarpicker_conf_lobby', 'mp_avatarpicker_conf', 'XpHud', 'FreeModeThread', 'netNoAmbientWorld', 'mpskiptutorial', 'LoadingScreenTexture']","['0x136', '0x160', '0x166', '0x186', '0x19E', '0x1D5', '0x1ED', '0x21E']","['0x139', '0x163', '0x16A', '0x171', '0x189', '0x1D8']",NetConf_AvatarPicker,string,20,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
442,0x1BA,26,mp_avatarpicker_conf_lobby,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000009,,442,0x1BA,string,string_table,mp_avatarpicker_conf_lobby,0,0x0..0xBB0,main,"['disable', 'mission']","['OLNM_ReturnToFM', 'mp_fe_resession', 'MULTI_FREE_ROAM', 'NetConf_AvatarPicker', 'mp_avatarpicker_conf_lobby', 'mp_avatarpicker_conf', 'XpHud', 'FreeModeThread', 'mp_fe_freeroam', 'netNoAmbientWorld', 'mpskiptutorial', 'LoadingScreenTexture']","['0x160', '0x166', '0x186', '0x19E', '0x1D5', '0x1ED', '0x21E', '0x229']","['0x163', '0x16A', '0x171', '0x189', '0x1D8', '0x22D', '0x233', '0x237']",mp_avatarpicker_conf_lobby,string,26,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
477,0x1DD,15,MULTI_FREE_ROAM,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000010,,477,0x1DD,string,string_table,MULTI_FREE_ROAM,0,0x0..0xBB0,main,"['disable', 'mission']","['MULTI_FREE_ROAM', 'NetConf_AvatarPicker', 'mp_avatarpicker_conf_lobby', 'mp_avatarpicker_conf', 'XpHud', 'netNoAmbientWorld', 'mpskiptutorial', 'FreeModeThread', 'OLNM_ReturnToFM', 'mp_fe_freeroam', 'mp_fe_resession', 'LoadingScreenTexture']","['0x160', '0x166', '0x186', '0x19E', '0x1D5', '0x1ED', '0x21E', '0x229']","['0x163', '0x16A', '0x171', '0x189', '0x1D8', '0x22D', '0x233', '0x237', '0x24E']",MULTI_FREE_ROAM,string,15,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
