archive,raw_offset,raw_offset_hex,score,keyword_hits,text,source
tune_d11generic.rpf,18844465,0x011F8B31,5,companion|fbi,AE_Companion_FBI,raw_strings_scan_head
tune_d11generic.rpf,18876445,0x0120081D,5,spawn|posse,tutorial_law_posse_spawn,raw_strings_scan_head
content.rpf,4821294,0x0049912E,4,fbi,*v)fBI,raw_strings_scan
content.rpf,9184288,0x008C2420,4,fbi,"~,Fbi",raw_strings_scan
content.rpf,10158191,0x009B006F,4,fbi,&fbI,raw_strings_scan
content.rpf,19397955,0x0127FD43,4,spawn,mp_gy_safe_spawned,raw_strings_scan
content.rpf,19398093,0x0127FDCD,4,spawn,mp_gy_weapon_spawned,raw_strings_scan
content.rpf,20411300,0x013773A4,4,spawn,mp_gy_safe_spawned,raw_strings_scan
content.rpf,20411438,0x0137742E,4,spawn,mp_gy_weapon_spawned,raw_strings_scan
content.rpf,20595620,0x013A43A4,4,spawn,mp_gy_safe_spawned,raw_strings_scan
content.rpf,20595758,0x013A442E,4,spawn,mp_gy_weapon_spawned,raw_strings_scan
content.rpf,20784451,0x013D2543,4,spawn,mp_gy_safe_spawned,raw_strings_scan
content.rpf,20784589,0x013D25CD,4,spawn,mp_gy_weapon_spawned,raw_strings_scan
tune_d11generic.rpf,3182219,0x00308E8B,4,fbi,fBiK,raw_strings_scan_head
tune_d11generic.rpf,3770112,0x00398700,4,fbi,Fbiw,raw_strings_scan_head
tune_d11generic.rpf,5955783,0x005AE0C7,4,fbi,"FBI,\4Z",raw_strings_scan_head
tune_d11generic.rpf,6338654,0x0060B85E,4,fbi,6FBI,raw_strings_scan_head
tune_d11generic.rpf,9035113,0x0089DD69,4,fbi,j=(-/(FBi,raw_strings_scan_head
tune_d11generic.rpf,9384465,0x008F3211,4,fbi,xFbi,raw_strings_scan_head
tune_d11generic.rpf,11359573,0x00AD5555,4,fbi,fBi(,raw_strings_scan_head
tune_d11generic.rpf,12475400,0x00BE5C08,4,fbi,1FbiW,raw_strings_scan_head
tune_d11generic.rpf,13734709,0x00D19335,4,fbi,LfBI,raw_strings_scan_head
tune_d11generic.rpf,15587969,0x00EDDA81,4,fbi,FBi@,raw_strings_scan_head
tune_d11generic.rpf,18851768,0x011FA7B8,4,fbi,AE_MISC_FBI_Agent01,raw_strings_scan_head
tune_d11generic.rpf,18851792,0x011FA7D0,4,fbi,AE_MISC_FBI_Agent02,raw_strings_scan_head
tune_d11generic.rpf,18851816,0x011FA7E8,4,fbi,AE_MISC_FBI_Agent03,raw_strings_scan_head
tune_d11generic.rpf,18851840,0x011FA800,4,fbi,AE_MISC_FBI_Clerk,raw_strings_scan_head
tune_d11generic.rpf,18852494,0x011FAA8E,4,fbi,AE_MISC_SecondFbiAgent,raw_strings_scan_head
tune_d11generic.rpf,18856956,0x011FBBFC,4,fbi,comp_intro_fbi01,raw_strings_scan_head
tune_d11generic.rpf,18859259,0x011FC4FB,4,fbi,FBI_Both_abandoned,raw_strings_scan_head
tune_d11generic.rpf,18859282,0x011FC512,4,fbi,FBI_Both_return,raw_strings_scan_head
tune_d11generic.rpf,18859302,0x011FC526,4,fbi,FBI_Fordham_abandoned,raw_strings_scan_head
tune_d11generic.rpf,18859328,0x011FC540,4,fbi,FBI_Fordham_attacked,raw_strings_scan_head
tune_d11generic.rpf,18859353,0x011FC559,4,fbi,FBI_Fordham_attacked_horse,raw_strings_scan_head
tune_d11generic.rpf,18859384,0x011FC578,4,fbi,FBI_Fordham_dead,raw_strings_scan_head
tune_d11generic.rpf,18859405,0x011FC58D,4,fbi,FBI_Fordham_horse_dead,raw_strings_scan_head
tune_d11generic.rpf,18859432,0x011FC5A8,4,fbi,FBI_Fordham_return,raw_strings_scan_head
tune_d11generic.rpf,18859455,0x011FC5BF,4,fbi,FBI_Ross_abandoned,raw_strings_scan_head
tune_d11generic.rpf,18859478,0x011FC5D6,4,fbi,FBI_Ross_attacked,raw_strings_scan_head
tune_d11generic.rpf,18859500,0x011FC5EC,4,fbi,FBI_Ross_attacked_horse,raw_strings_scan_head
tune_d11generic.rpf,18859528,0x011FC608,4,fbi,FBI_Ross_dead,raw_strings_scan_head
tune_d11generic.rpf,18859546,0x011FC61A,4,fbi,FBI_Ross_horse_dead,raw_strings_scan_head
tune_d11generic.rpf,18859570,0x011FC632,4,fbi,FBI_Ross_return,raw_strings_scan_head
tune_d11generic.rpf,18859590,0x011FC646,4,fbi,FBI_SUIT,raw_strings_scan_head
tune_d11generic.rpf,18866944,0x011FE300,4,fbi,out_fbi,raw_strings_scan_head
tune_d11generic.rpf,18866956,0x011FE30C,4,fbi,out_fbi_hint1,raw_strings_scan_head
tune_d11generic.rpf,18871049,0x011FF309,4,create,Save_CreateNewAlbum,raw_strings_scan_head
tune_d11generic.rpf,18871073,0x011FF321,4,create,Save_CreateNewSave,raw_strings_scan_head
tune_d11generic.rpf,18871293,0x011FF3FD,4,create,Save_Dialog_CreateSaveError,raw_strings_scan_head
tune_d11generic.rpf,18875771,0x0120057B,4,spawn,tutorial_law_army_spawn,raw_strings_scan_head
tune_d11generic.rpf,18875861,0x012005D5,4,spawn,tutorial_law_bounty_spawn,raw_strings_scan_head
tune_d11generic.rpf,18876144,0x012006F0,4,spawn,tutorial_law_local_spawn,raw_strings_scan_head
tune_d11generic.rpf,18876332,0x012007AC,4,spawn,tutorial_law_marshal_spawn,raw_strings_scan_head
tune_d11generic.rpf,18844627,0x011F8BD3,2,companion|native,AE_Companion_NativeFriend,raw_strings_scan_head
tune_d11generic.rpf,18856514,0x011FBA42,2,coach|passenger,Coach_Passenger,raw_strings_scan_head
tune_d11generic.rpf,18875441,0x01200431,2,coach|passenger,tutorial_first_passenger_coach,raw_strings_scan_head
content.rpf,11781547,0x00B3C5AB,1,cart,cart,raw_strings_scan
content.rpf,19392788,0x0127E914,1,posse,Law_Caucasian_TownPosse_Easy05_DLC_Overrun_msg01_01,raw_strings_scan
content.rpf,19392844,0x0127E94C,1,posse,Law_Caucasian_TownPosse_Easy05_DLC_Overrun_msg02_01,raw_strings_scan
content.rpf,19392900,0x0127E984,1,posse,Law_Caucasian_TownPosse_Easy05_DLC_Overrun_msg03_01,raw_strings_scan
content.rpf,19392956,0x0127E9BC,1,posse,Law_Caucasian_TownPosse_Easy05_DLC_Overrun_msg04_01,raw_strings_scan
content.rpf,19393012,0x0127E9F4,1,posse,Law_Caucasian_TownPosse_Easy05_DLC_Overrun_msg05_01,raw_strings_scan
content.rpf,19393068,0x0127EA2C,1,posse,Law_Caucasian_TownPosse_Easy05_DLC_Overrun_msg06_01,raw_strings_scan
content.rpf,19393124,0x0127EA64,1,posse,Law_Caucasian_TownPosse_Easy05_DLC_Overrun_msg07_01,raw_strings_scan
content.rpf,19393180,0x0127EA9C,1,posse,Law_Caucasian_TownPosse_Easy05_DLC_Overrun_msg08_01,raw_strings_scan
content.rpf,19393236,0x0127EAD4,1,posse,Law_Caucasian_TownPosse_Easy12_DLC_LoneZombie_msg01_01,raw_strings_scan
content.rpf,19393295,0x0127EB0F,1,posse,Law_Caucasian_TownPosse_Easy12_DLC_LoneZombie_msg02_01,raw_strings_scan
content.rpf,19394106,0x0127EE3A,1,posse,Law_Mexican_PuebloPosse_Easy01_DLC_LoneZombie_msg01_01,raw_strings_scan
content.rpf,19394165,0x0127EE75,1,posse,Law_Mexican_PuebloPosse_Easy01_DLC_LoneZombie_msg02_01,raw_strings_scan
content.rpf,19394224,0x0127EEB0,1,posse,Law_Mexican_PuebloPosse_Easy02_DLC_ZombieChase_msg01_01,raw_strings_scan
content.rpf,19394284,0x0127EEEC,1,posse,Law_Mexican_PuebloPosse_Easy02_DLC_ZombieChase_msg02_01,raw_strings_scan
content.rpf,19394344,0x0127EF28,1,posse,Law_Mexican_PuebloPosse_Easy02_DLC_ZombieChase_msg03_01,raw_strings_scan
content.rpf,19394404,0x0127EF64,1,posse,Law_Mexican_PuebloPosse_Easy02_DLC_ZombieChase_msg04_01,raw_strings_scan
content.rpf,20779284,0x013D1114,1,posse,Law_Caucasian_TownPosse_Easy05_DLC_Overrun_msg01_01,raw_strings_scan
content.rpf,20779340,0x013D114C,1,posse,Law_Caucasian_TownPosse_Easy05_DLC_Overrun_msg02_01,raw_strings_scan
content.rpf,20779396,0x013D1184,1,posse,Law_Caucasian_TownPosse_Easy05_DLC_Overrun_msg03_01,raw_strings_scan
content.rpf,20779452,0x013D11BC,1,posse,Law_Caucasian_TownPosse_Easy05_DLC_Overrun_msg04_01,raw_strings_scan
content.rpf,20779508,0x013D11F4,1,posse,Law_Caucasian_TownPosse_Easy05_DLC_Overrun_msg05_01,raw_strings_scan
content.rpf,20779564,0x013D122C,1,posse,Law_Caucasian_TownPosse_Easy05_DLC_Overrun_msg06_01,raw_strings_scan
content.rpf,20779620,0x013D1264,1,posse,Law_Caucasian_TownPosse_Easy05_DLC_Overrun_msg07_01,raw_strings_scan
content.rpf,20779676,0x013D129C,1,posse,Law_Caucasian_TownPosse_Easy05_DLC_Overrun_msg08_01,raw_strings_scan
content.rpf,20779732,0x013D12D4,1,posse,Law_Caucasian_TownPosse_Easy12_DLC_LoneZombie_msg01_01,raw_strings_scan
content.rpf,20779791,0x013D130F,1,posse,Law_Caucasian_TownPosse_Easy12_DLC_LoneZombie_msg02_01,raw_strings_scan
content.rpf,20780602,0x013D163A,1,posse,Law_Mexican_PuebloPosse_Easy01_DLC_LoneZombie_msg01_01,raw_strings_scan
content.rpf,20780661,0x013D1675,1,posse,Law_Mexican_PuebloPosse_Easy01_DLC_LoneZombie_msg02_01,raw_strings_scan
content.rpf,20780720,0x013D16B0,1,posse,Law_Mexican_PuebloPosse_Easy02_DLC_ZombieChase_msg01_01,raw_strings_scan
content.rpf,20780780,0x013D16EC,1,posse,Law_Mexican_PuebloPosse_Easy02_DLC_ZombieChase_msg02_01,raw_strings_scan
content.rpf,20780840,0x013D1728,1,posse,Law_Mexican_PuebloPosse_Easy02_DLC_ZombieChase_msg03_01,raw_strings_scan
content.rpf,20780900,0x013D1764,1,posse,Law_Mexican_PuebloPosse_Easy02_DLC_ZombieChase_msg04_01,raw_strings_scan
tune_d11generic.rpf,18843083,0x011F85CB,1,driver,AE_Caucasian_Male_SteamEngineDriver01,raw_strings_scan_head
tune_d11generic.rpf,18844373,0x011F8AD5,1,companion,AE_Companion_Anthropologist,raw_strings_scan_head
tune_d11generic.rpf,18844405,0x011F8AF5,1,companion,AE_Companion_Daughter,raw_strings_scan_head
tune_d11generic.rpf,18844431,0x011F8B0F,1,companion,AE_Companion_famousGunslinger,raw_strings_scan_head
tune_d11generic.rpf,18844486,0x011F8B46,1,companion,AE_Companion_Foreman,raw_strings_scan_head
tune_d11generic.rpf,18844511,0x011F8B5F,1,companion,AE_Companion_GraveRobber,raw_strings_scan_head
tune_d11generic.rpf,18844540,0x011F8B7C,1,companion,AE_Companion_Marshal,raw_strings_scan_head
tune_d11generic.rpf,18844565,0x011F8B95,1,companion,AE_Companion_MexicanGirl,raw_strings_scan_head
tune_d11generic.rpf,18844594,0x011F8BB2,1,companion,AE_Companion_MexicanHenchman,raw_strings_scan_head
tune_d11generic.rpf,18844657,0x011F8BF1,1,companion,AE_Companion_OutLaw,raw_strings_scan_head
tune_d11generic.rpf,18844681,0x011F8C09,1,companion,AE_Companion_Rebel,raw_strings_scan_head
tune_d11generic.rpf,18844704,0x011F8C20,1,companion,AE_Companion_SnakeOilMerchant,raw_strings_scan_head
tune_d11generic.rpf,18849678,0x011F9F8E,1,posse,AE_Law_Caucasian_TownPosse_Easy01,raw_strings_scan_head
tune_d11generic.rpf,18849716,0x011F9FB4,1,posse,AE_Law_Caucasian_TownPosse_Easy02,raw_strings_scan_head
tune_d11generic.rpf,18849754,0x011F9FDA,1,posse,AE_Law_Caucasian_TownPosse_Easy03,raw_strings_scan_head
tune_d11generic.rpf,18849792,0x011FA000,1,posse,AE_Law_Caucasian_TownPosse_Easy04,raw_strings_scan_head
tune_d11generic.rpf,18849830,0x011FA026,1,posse,AE_Law_Caucasian_TownPosse_Easy05,raw_strings_scan_head
tune_d11generic.rpf,18849868,0x011FA04C,1,posse,AE_Law_Caucasian_TownPosse_Easy06,raw_strings_scan_head
tune_d11generic.rpf,18850398,0x011FA25E,1,posse,AE_Law_Mexican_PuebloPosse_Easy01,raw_strings_scan_head
tune_d11generic.rpf,18850436,0x011FA284,1,posse,AE_Law_Mexican_PuebloPosse_Easy02,raw_strings_scan_head
tune_d11generic.rpf,18850474,0x011FA2AA,1,posse,AE_Law_Mexican_PuebloPosse_Easy03,raw_strings_scan_head
tune_d11generic.rpf,18850512,0x011FA2D0,1,posse,AE_Law_Mexican_PuebloPosse_Easy04,raw_strings_scan_head
tune_d11generic.rpf,18850550,0x011FA2F6,1,posse,AE_Law_Mexican_PuebloPosse_Easy05,raw_strings_scan_head
tune_d11generic.rpf,18850588,0x011FA31C,1,posse,AE_Law_Mexican_PuebloPosse_Easy06,raw_strings_scan_head
tune_d11generic.rpf,18852693,0x011FAB55,1,native,AE_Native_Male_Traveler02,raw_strings_scan_head
tune_d11generic.rpf,18854945,0x011FB421,1,turret,ammo_turretbullet,raw_strings_scan_head
tune_d11generic.rpf,18856444,0x011FB9FC,1,train,climb_train_down,raw_strings_scan_head
tune_d11generic.rpf,18856465,0x011FBA11,1,train,climb_train_up,raw_strings_scan_head
tune_d11generic.rpf,18857770,0x011FBF2A,1,coach,CRM_ROB_COACH,raw_strings_scan_head
tune_d11generic.rpf,18857788,0x011FBF3C,1,train,CRM_ROB_TRAIN,raw_strings_scan_head
tune_d11generic.rpf,18858717,0x011FC2DD,1,coach,Drive_Stagecoach,raw_strings_scan_head
tune_d11generic.rpf,18858738,0x011FC2F2,1,coach,drivecoach_help,raw_strings_scan_head
tune_d11generic.rpf,18859200,0x011FC4C0,1,cart,Enter_Minecart,raw_strings_scan_head
tune_d11generic.rpf,18861772,0x011FCECC,1,train,horse_matchspeed_train,raw_strings_scan_head
tune_d11generic.rpf,18861799,0x011FCEE7,1,wagon,horse_matchspeed_wagon,raw_strings_scan_head
tune_d11generic.rpf,18862045,0x011FCFDD,1,train,item_train_ticket,raw_strings_scan_head
tune_d11generic.rpf,18862297,0x011FD0D9,1,coach,job_type_stagecoach,raw_strings_scan_head
tune_d11generic.rpf,18862321,0x011FD0F1,1,train,job_type_train,raw_strings_scan_head
tune_d11generic.rpf,18862371,0x011FD123,1,wagon,Jump_Wagon,raw_strings_scan_head
tune_d11generic.rpf,18867730,0x011FE612,1,vehicle,out_warn_vehicle,raw_strings_scan_head
tune_d11generic.rpf,18867989,0x011FE715,1,coach,PASS_COACH_CurrentDest,raw_strings_scan_head
tune_d11generic.rpf,18868016,0x011FE730,1,coach,PASS_COACH_Exit,raw_strings_scan_head
tune_d11generic.rpf,18868036,0x011FE744,1,coach,PASS_COACH_Faster,raw_strings_scan_head
tune_d11generic.rpf,18868058,0x011FE75A,1,coach,PASS_COACH_NextDest,raw_strings_scan_head
tune_d11generic.rpf,18868082,0x011FE772,1,coach,PASS_COACH_PreviousDest,raw_strings_scan_head
tune_d11generic.rpf,18868110,0x011FE78E,1,coach,PASS_COACH_SkipToDest,raw_strings_scan_head
tune_d11generic.rpf,18868136,0x011FE7A8,1,coach,PASS_COACH_Slower,raw_strings_scan_head
tune_d11generic.rpf,18868158,0x011FE7BE,1,passenger,passenger0,raw_strings_scan_head
tune_d11generic.rpf,18868173,0x011FE7CD,1,passenger,passenger1,raw_strings_scan_head
tune_d11generic.rpf,18868188,0x011FE7DC,1,passenger,passenger2,raw_strings_scan_head
tune_d11generic.rpf,18868203,0x011FE7EB,1,passenger,passenger3,raw_strings_scan_head
tune_d11generic.rpf,18868552,0x011FE948,1,posse,posse_submit_use,raw_strings_scan_head
tune_d11generic.rpf,18874000,0x011FFE90,1,wagon,Steal_Wagon,raw_strings_scan_head
tune_d11generic.rpf,18874265,0x011FFF99,1,train,talk_to_trainStation,raw_strings_scan_head
tune_d11generic.rpf,18874418,0x01200032,1,coach,taxi_coach_help,raw_strings_scan_head
tune_d11generic.rpf,18874547,0x012000B3,1,train,Train_abandoned,raw_strings_scan_head
tune_d11generic.rpf,18874567,0x012000C7,1,train,Train_return,raw_strings_scan_head
tune_d11generic.rpf,18874584,0x012000D8,1,train,train_take_nap,raw_strings_scan_head
tune_d11generic.rpf,18874603,0x012000EB,1,train,TRAIN_TIC,raw_strings_scan_head
tune_d11generic.rpf,18874617,0x012000F9,1,train,TRAIN_TIC_DES,raw_strings_scan_head
tune_d11generic.rpf,18874635,0x0120010B,1,train,TRAIN_TICKET,raw_strings_scan_head
tune_d11generic.rpf,18874652,0x0120011C,1,train,trainmarshal_help,raw_strings_scan_head
tune_d11generic.rpf,18875059,0x012002B3,1,coach,tutorial_first_drive_coach,raw_strings_scan_head
tune_d11generic.rpf,18875476,0x01200454,1,coach,tutorial_first_see_coach,raw_strings_scan_head
tune_d11generic.rpf,18876385,0x012007E1,1,posse,tutorial_law_posse_end,raw_strings_scan_head
tune_d11generic.rpf,18876412,0x012007FC,1,posse,tutorial_law_posse_generated,raw_strings_scan_head
tune_d11generic.rpf,18876637,0x012008DD,1,coach,tutorial_ride_coach,raw_strings_scan_head
tune_d11generic.rpf,18877240,0x01200B38,1,wagon,Wagon_abandoned,raw_strings_scan_head
tune_d11generic.rpf,18877260,0x01200B4C,1,wagon,wagon_choose_ride,raw_strings_scan_head
tune_d11generic.rpf,18877282,0x01200B62,1,wagon,Wagon_dead,raw_strings_scan_head
tune_d11generic.rpf,18877297,0x01200B71,1,wagon,Wagon_horse_dead,raw_strings_scan_head
tune_d11generic.rpf,18877318,0x01200B86,1,wagon,Wagon_Horse_return,raw_strings_scan_head
tune_d11generic.rpf,18877341,0x01200B9D,1,wagon,wagon_nap_help,raw_strings_scan_head
tune_d11generic.rpf,18877360,0x01200BB0,1,wagon,wagon_nap_obj,raw_strings_scan_head
tune_d11generic.rpf,18877378,0x01200BC2,1,wagon,Wagon_return,raw_strings_scan_head
