archive,raw_offset,raw_offset_hex,score,keyword_hits,text,source
tune_d11generic.rpf,18844465,0x011F8B31,5,companion|fbi,AE_Companion_FBI,raw_strings_scan_head
tune_d11generic.rpf,18876445,0x0120081D,5,spawn|posse,tutorial_law_posse_spawn,raw_strings_scan_head
content.rpf,4821294,0x0049912E,4,fbi,*v)fBI,raw_strings_scan
content.rpf,9184288,0x008C2420,4,fbi,"~,Fbi",raw_strings_scan
content.rpf,10158191,0x009B006F,4,fbi,&fbI,raw_strings_scan
content.rpf,19397955,0x0127FD43,4,spawn,mp_gy_safe_spawned,raw_strings_scan
content.rpf,19398093,0x0127FDCD,4,spawn,mp_gy_weapon_spawned,raw_strings_scan
content.rpf,20411300,0x013773A4,4,spawn,mp_gy_safe_spawned,raw_strings_scan
content.rpf,20411438,0x0137742E,4,spawn,mp_gy_weapon_spawned,raw_strings_scan
content.rpf,20595620,0x013A43A4,4,spawn,mp_gy_safe_spawned,raw_strings_scan
content.rpf,20595758,0x013A442E,4,spawn,mp_gy_weapon_spawned,raw_strings_scan
content.rpf,20784451,0x013D2543,4,spawn,mp_gy_safe_spawned,raw_strings_scan
content.rpf,20784589,0x013D25CD,4,spawn,mp_gy_weapon_spawned,raw_strings_scan
tune_d11generic.rpf,3182219,0x00308E8B,4,fbi,fBiK,raw_strings_scan_head
tune_d11generic.rpf,3770112,0x00398700,4,fbi,Fbiw,raw_strings_scan_head
tune_d11generic.rpf,5955783,0x005AE0C7,4,fbi,"FBI,\4Z",raw_strings_scan_head
tune_d11generic.rpf,6338654,0x0060B85E,4,fbi,6FBI,raw_strings_scan_head
tune_d11generic.rpf,9035113,0x0089DD69,4,fbi,j=(-/(FBi,raw_strings_scan_head
tune_d11generic.rpf,9384465,0x008F3211,4,fbi,xFbi,raw_strings_scan_head
tune_d11generic.rpf,11359573,0x00AD5555,4,fbi,fBi(,raw_strings_scan_head
tune_d11generic.rpf,12475400,0x00BE5C08,4,fbi,1FbiW,raw_strings_scan_head
tune_d11generic.rpf,13734709,0x00D19335,4,fbi,LfBI,raw_strings_scan_head
tune_d11generic.rpf,15587969,0x00EDDA81,4,fbi,FBi@,raw_strings_scan_head
tune_d11generic.rpf,18851768,0x011FA7B8,4,fbi,AE_MISC_FBI_Agent01,raw_strings_scan_head
tune_d11generic.rpf,18851792,0x011FA7D0,4,fbi,AE_MISC_FBI_Agent02,raw_strings_scan_head
tune_d11generic.rpf,18851816,0x011FA7E8,4,fbi,AE_MISC_FBI_Agent03,raw_strings_scan_head
tune_d11generic.rpf,18851840,0x011FA800,4,fbi,AE_MISC_FBI_Clerk,raw_strings_scan_head
tune_d11generic.rpf,18852494,0x011FAA8E,4,fbi,AE_MISC_SecondFbiAgent,raw_strings_scan_head
tune_d11generic.rpf,18856956,0x011FBBFC,4,fbi,comp_intro_fbi01,raw_strings_scan_head
tune_d11generic.rpf,18859259,0x011FC4FB,4,fbi,FBI_Both_abandoned,raw_strings_scan_head
tune_d11generic.rpf,18859282,0x011FC512,4,fbi,FBI_Both_return,raw_strings_scan_head
tune_d11generic.rpf,18859302,0x011FC526,4,fbi,FBI_Fordham_abandoned,raw_strings_scan_head
tune_d11generic.rpf,18859328,0x011FC540,4,fbi,FBI_Fordham_attacked,raw_strings_scan_head
tune_d11generic.rpf,18859353,0x011FC559,4,fbi,FBI_Fordham_attacked_horse,raw_strings_scan_head
tune_d11generic.rpf,18859384,0x011FC578,4,fbi,FBI_Fordham_dead,raw_strings_scan_head
tune_d11generic.rpf,18859405,0x011FC58D,4,fbi,FBI_Fordham_horse_dead,raw_strings_scan_head
tune_d11generic.rpf,18859432,0x011FC5A8,4,fbi,FBI_Fordham_return,raw_strings_scan_head
tune_d11generic.rpf,18859455,0x011FC5BF,4,fbi,FBI_Ross_abandoned,raw_strings_scan_head
tune_d11generic.rpf,18859478,0x011FC5D6,4,fbi,FBI_Ross_attacked,raw_strings_scan_head
tune_d11generic.rpf,18859500,0x011FC5EC,4,fbi,FBI_Ross_attacked_horse,raw_strings_scan_head
tune_d11generic.rpf,18859528,0x011FC608,4,fbi,FBI_Ross_dead,raw_strings_scan_head
tune_d11generic.rpf,18859546,0x011FC61A,4,fbi,FBI_Ross_horse_dead,raw_strings_scan_head
tune_d11generic.rpf,18859570,0x011FC632,4,fbi,FBI_Ross_return,raw_strings_scan_head
tune_d11generic.rpf,18859590,0x011FC646,4,fbi,FBI_SUIT,raw_strings_scan_head
tune_d11generic.rpf,18866944,0x011FE300,4,fbi,out_fbi,raw_strings_scan_head
tune_d11generic.rpf,18866956,0x011FE30C,4,fbi,out_fbi_hint1,raw_strings_scan_head
tune_d11generic.rpf,18871049,0x011FF309,4,create,Save_CreateNewAlbum,raw_strings_scan_head
tune_d11generic.rpf,18871073,0x011FF321,4,create,Save_CreateNewSave,raw_strings_scan_head
tune_d11generic.rpf,18871293,0x011FF3FD,4,create,Save_Dialog_CreateSaveError,raw_strings_scan_head
tune_d11generic.rpf,18875771,0x0120057B,4,spawn,tutorial_law_army_spawn,raw_strings_scan_head
tune_d11generic.rpf,18875861,0x012005D5,4,spawn,tutorial_law_bounty_spawn,raw_strings_scan_head
tune_d11generic.rpf,18876144,0x012006F0,4,spawn,tutorial_law_local_spawn,raw_strings_scan_head
tune_d11generic.rpf,18876332,0x012007AC,4,spawn,tutorial_law_marshal_spawn,raw_strings_scan_head
tune_d11generic.rpf,18844627,0x011F8BD3,2,companion|native,AE_Companion_NativeFriend,raw_strings_scan_head
tune_d11generic.rpf,18856514,0x011FBA42,2,coach|passenger,Coach_Passenger,raw_strings_scan_head
tune_d11generic.rpf,18875441,0x01200431,2,coach|passenger,tutorial_first_passenger_coach,raw_strings_scan_head
tune_d11generic.rpf,18844373,0x011F8AD5,1,companion,AE_Companion_Anthropologist,raw_strings_scan_head
tune_d11generic.rpf,18844405,0x011F8AF5,1,companion,AE_Companion_Daughter,raw_strings_scan_head
tune_d11generic.rpf,18844431,0x011F8B0F,1,companion,AE_Companion_famousGunslinger,raw_strings_scan_head
tune_d11generic.rpf,18844486,0x011F8B46,1,companion,AE_Companion_Foreman,raw_strings_scan_head
tune_d11generic.rpf,18844511,0x011F8B5F,1,companion,AE_Companion_GraveRobber,raw_strings_scan_head
tune_d11generic.rpf,18844540,0x011F8B7C,1,companion,AE_Companion_Marshal,raw_strings_scan_head
tune_d11generic.rpf,18844565,0x011F8B95,1,companion,AE_Companion_MexicanGirl,raw_strings_scan_head
tune_d11generic.rpf,18844594,0x011F8BB2,1,companion,AE_Companion_MexicanHenchman,raw_strings_scan_head
tune_d11generic.rpf,18844657,0x011F8BF1,1,companion,AE_Companion_OutLaw,raw_strings_scan_head
tune_d11generic.rpf,18844681,0x011F8C09,1,companion,AE_Companion_Rebel,raw_strings_scan_head
tune_d11generic.rpf,18844704,0x011F8C20,1,companion,AE_Companion_SnakeOilMerchant,raw_strings_scan_head
tune_d11generic.rpf,18856444,0x011FB9FC,1,train,climb_train_down,raw_strings_scan_head
tune_d11generic.rpf,18856465,0x011FBA11,1,train,climb_train_up,raw_strings_scan_head
tune_d11generic.rpf,18857788,0x011FBF3C,1,train,CRM_ROB_TRAIN,raw_strings_scan_head
tune_d11generic.rpf,18858717,0x011FC2DD,1,coach,Drive_Stagecoach,raw_strings_scan_head
tune_d11generic.rpf,18861772,0x011FCECC,1,train,horse_matchspeed_train,raw_strings_scan_head
tune_d11generic.rpf,18861799,0x011FCEE7,1,wagon,horse_matchspeed_wagon,raw_strings_scan_head
tune_d11generic.rpf,18862045,0x011FCFDD,1,train,item_train_ticket,raw_strings_scan_head
tune_d11generic.rpf,18862297,0x011FD0D9,1,coach,job_type_stagecoach,raw_strings_scan_head
tune_d11generic.rpf,18862321,0x011FD0F1,1,train,job_type_train,raw_strings_scan_head
tune_d11generic.rpf,18862371,0x011FD123,1,wagon,Jump_Wagon,raw_strings_scan_head
tune_d11generic.rpf,18874000,0x011FFE90,1,wagon,Steal_Wagon,raw_strings_scan_head
tune_d11generic.rpf,18874265,0x011FFF99,1,train,talk_to_trainStation,raw_strings_scan_head
tune_d11generic.rpf,18874547,0x012000B3,1,train,Train_abandoned,raw_strings_scan_head
tune_d11generic.rpf,18874567,0x012000C7,1,train,Train_return,raw_strings_scan_head
tune_d11generic.rpf,18874584,0x012000D8,1,train,train_take_nap,raw_strings_scan_head
tune_d11generic.rpf,18874603,0x012000EB,1,train,TRAIN_TIC,raw_strings_scan_head
tune_d11generic.rpf,18874617,0x012000F9,1,train,TRAIN_TIC_DES,raw_strings_scan_head
tune_d11generic.rpf,18874635,0x0120010B,1,train,TRAIN_TICKET,raw_strings_scan_head
tune_d11generic.rpf,18874652,0x0120011C,1,train,trainmarshal_help,raw_strings_scan_head
tune_d11generic.rpf,18877240,0x01200B38,1,wagon,Wagon_abandoned,raw_strings_scan_head
tune_d11generic.rpf,18877260,0x01200B4C,1,wagon,wagon_choose_ride,raw_strings_scan_head
tune_d11generic.rpf,18877282,0x01200B62,1,wagon,Wagon_dead,raw_strings_scan_head
tune_d11generic.rpf,18877297,0x01200B71,1,wagon,Wagon_horse_dead,raw_strings_scan_head
tune_d11generic.rpf,18877318,0x01200B86,1,wagon,Wagon_Horse_return,raw_strings_scan_head
tune_d11generic.rpf,18877341,0x01200B9D,1,wagon,wagon_nap_help,raw_strings_scan_head
tune_d11generic.rpf,18877360,0x01200BB0,1,wagon,wagon_nap_obj,raw_strings_scan_head
tune_d11generic.rpf,18877378,0x01200BC2,1,wagon,Wagon_return,raw_strings_scan_head
